cluster_name,cluster_group,cluster_tags
hypnotically-spinier,bar,
upholstering-slipperiest,foo,
dominguez-terrorize,baz,
leapfrogging-headlocks,bar,
peppermint-psalms,foo,
lifelike-critiqued,baz,
mealiest-chimps,qux,
penniless-suppress,bar,
eliciting-armpits,foo,
pestle-lone,bar,
southwest-gotchas,foo,
forestry-lobby,baz,
britten-yanks,qux,
ineffectual-elopes,foo,
soybean-prospecting,bar,
sensed-plugging,baz,
reprehending-yachts,foo,
utmost-glue,bar,
rotary-overbore,bar,
cashes-spartacus,qux,
corsair-trusses,qux,
slither-vocalizes,baz,
wingnut-irrationality,bar,
congaing-grudges,baz,
sepals-abominably,foo,
encompass-inexhaustibly,baz,
stakeouts-musical,qux,
bowie-at,qux,
licentious-bloodstained,baz,
posters-macbeth,qux,
elders-popularity,foo,
pore-marginalia,baz,
attenuates-undeclared,baz,
skip-haggai,qux,
detachable-u,foo,
ruin-recaptures,bar,
pussies-grinned,qux,
papas-flaw,foo,
dockyards-monotonic,foo,
rows-anasazi,baz,
mince-subsidized,qux,
ranking-concern,bar,
ayes-bevels,qux,
spritz-bin,qux,
attending-echoing,bar,
sixths-festered,foo,
repleting-irk,foo,
tore-announcements,baz,
ornamented-soirées,bar,
fulminate-fillips,bar,
indexes-remount,bar,
wackier-comptrollers,qux,
dazzled-bedbugs,qux,
interlocutory-inquisitiveness,qux,
microwaves-wisecrack,baz,
christy-suffragist,foo,
vulva-algerians,foo,
jangling-heretics,bar,
carried-overpaying,bar,
stockades-negotiable,qux,
focuses-iscariot,bar,
wagons-pictograph,foo,
harmonically-bits,foo,
langmuir-metacarpus,baz,
rebellions-rene,bar,
jingling-bowel,baz,
jagiellon-validly,qux,
appreciative-busting,qux,
relating-lawyers,bar,
megalopolis-solubility,foo,
resubmits-sybarites,foo,
yakima-neutrinos,foo,
thundershowers-centurions,bar,
orthodontia-apportioned,baz,
bonniest-misapprehensions,foo,
mangles-regurgitates,foo,
conservation-piled,baz,
hitchhikers-politesse,bar,
hammer-dustiest,foo,
tropism-nuked,qux,
clumsiness-republicans,baz,
crinklier-interns,bar,
feedbag-gynecology,qux,
italians-parsley,qux,
unhappier-doe,baz,
aerators-hydroelectric,qux,
assam-iterations,bar,
manipulating-solo,foo,
cluck-michelle,baz,
revivalist-tim,qux,
warehouse-teenage,bar,
pompeii-pilau,qux,
banns-lethally,bar,
brigadoon-visigoth,foo,
vocalize-hale,bar,
sighting-poised,qux,
callipered-ferrule,qux,
semis-hathaway,baz,
maps-columbine,qux,
settling-gelt,foo,
dorothy-hellholes,baz,
breakups-dahlia,baz,
griffin-abash,baz,
sparkles-psychology,foo,
lullaby-speedways,qux,
glisten-halftimes,foo,
wringers-nicest,bar,
crusted-corona,qux,
flacks-lighting,baz,
irritations-facile,bar,
nembutal-bowlders,bar,
pallid-motorists,qux,
adjoined-swinburne,baz,
geffen-whomever,baz,
cede-chapped,baz,
suspending-skeptical,bar,
scary-telecommuter,foo,
pdf-jalopies,bar,
gauntest-inability,baz,
bolstering-butcheries,foo,
molehills-benefits,foo,
propitiates-nasturtium,baz,
climactic-yokel,qux,
hillary-blancmange,bar,
cult-auditors,foo,
startled-algerian,bar,
leeuwenhoek-minuet,baz,
puffballs-fluent,foo,
drapes-ladoga,bar,
inundations-benefactors,qux,
irritable-oedipus,qux,
morphy-padlocks,foo,
convoys-troublemakers,bar,
increased-valued,baz,
asexually-nettles,baz,
wrinkling-cowlick,bar,
soloist-duos,bar,
servo-hinesville,bar,
germs-purchasing,bar,
perceivable-sunlit,foo,
pursues-mulberries,baz,
enid-peevishness,qux,
riyadh-perfecter,bar,
killing-incomprehensible,bar,
cataleptics-outbreak,baz,
hooters-oiled,qux,
mismanagement-imbalance,foo,
untied-tranquillizer,baz,
rubdown-foundation,foo,
tania-meaner,foo,
excrement-unconditionally,bar,
edwina-obtruding,baz,
persephone-indifferently,baz,
nate-intimate,baz,
backbiter-woodland,baz,
octogenarians-pulsation,baz,
inimically-marathoner,baz,
huskies-mans,bar,
highlighters-mccall,baz,
uncorrelated-altaba,foo,
preamble-guzzlers,foo,
boulevard-concerting,foo,
bostons-uncleaner,baz,
soapiness-gamuts,qux,
disinfect-kitchens,baz,
preschooler-murderous,baz,
nonbreakable-sandstorms,bar,
mustaches-decants,qux,
sensuality-filtrate,qux,
machining-fuchsias,foo,
coercion-socioeconomic,qux,
taught-savaging,baz,
jarred-puttered,bar,
doomsday-weirdness,qux,
rafters-retreads,bar,
christmases-kali,baz,
outspreading-enshrine,foo,
therapists-demonstrations,baz,
snoopy-kerri,bar,
celebrant-alteration,baz,
yeager-peccadilloes,bar,
accuracy-overdressed,foo,
synced-baez,qux,
dismissed-undersold,baz,
beautiful-implement,foo,
pepys-davao,foo,
floes-finessed,foo,
infringing-sacramental,foo,
upheaval-andromeda,qux,
sympathized-surgeons,qux,
slushiest-slue,bar,
coot-protections,bar,
unbelievers-burlesqued,qux,
cucumber-grislier,qux,
sago-franchising,foo,
tourniquets-realign,foo,
